Spinning Wheel Figure Token;60m;Rapunzel;1;;;;;Flora;Spinning Wheel Figure Token;Common;Token 1;;;Flora;1;20;20;20;24,500;60m;;;;;;;;;
Spinning Wheel Figure Token;60m;Prince Phillip;1;;;;;Flora;Red Fairy Hat Token;Uncommon;Token 2;;;Flora;2;5;1;1;1,450;36s;;;;;;;;;
Spinning Wheel Figure Token;60m;Merryweather;1;;;;;Flora;Flora Ears Hat Token;Uncommon;Token 3;;;Flora;3;10;2;1;2,200;6m;;;;;;;;;
Spinning Wheel Figure Token;2h;Flora;2;;;Fairy Hut;;;;;;;;Flora;4;20;3;2;3,300;35m;;;;;;;;;
Spinning Wheel Figure Token;2h;Fauna;1;;;Fairy Hut;;;;;;;;Flora;5;40;4;4;4,300;60m;;;;;;;;;
Spinning Wheel Figure Token;2h;Aurora;1;;;;;;;;;;;Flora;6;50;6;6;5,600;2h;;;;;;;;;
Red Fairy Hat Token;4h;WALL-E;2;;;Astro Orbiters;;;;;;;;Flora;7;60;8;8;7,300;4h;;;;;;;;;
Red Fairy Hat Token;4h;Hamm;5;;;Buzz Lightyear's Astro Blasters;;;;;;;;Flora;8;70;10;10;9,500;8h;;;;;;;;;
Red Fairy Hat Token;4h;Elizabeth Swann;5;Will Turner;4;;;;;;;;;Flora;9;80;12;12;12,350;16h;;;;;;;;;
Red Fairy Hat Token;6h;Daisy Duck;3;;;Goofy's Playhouse;;;;;;;;Flora;10;100;15;15;16,050;24h;;;;;;;;;
Red Fairy Hat Token;6h;Minnie Mouse;4;;;Daisy's Diner;;;;;;;;;;;;;;;;;;;;;;;
Red Fairy Hat Token;6h;Rapunzel;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Flora Ears Hat Token;4h;Maximus;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Flora Ears Hat Token;6h;Celia Mae;1;;;Monsters, Inc. Laugh Floor;;;;;;;;;;;;;;;;;;;;;;;
Flora Ears Hat Token;6h;Mike Wazowski;6;Roz;2;;;;;;;;;;;;;;;;;;;;;;;;
Flora Ears Hat Token;8h;Buzz Lightyear;3;;;Al's Toy Barn;;;;;;;;;;;;;;;;;;;;;;;
Flora Ears Hat Token;8h;Flynn;2;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
